# CtApRoadGraphLight
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtApRoadGraphLight\ContractHeader\Rte_CtApRoadGraphLight.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtApRoadGraphLight_PpDiagGlobalRead_DeFSPCleared|Dt_BOOL
Rte_IStatus_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSEData|void
Rte_IRead_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSNAVData|void
Rte_IStatus_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSNAVData|void
Rte_IRead_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSOBJData|void
Rte_IStatus_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSOBJData|void
Rte_IRead_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSPFData|void
Rte_IStatus_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSPFData|void
Rte_IRead_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSPOSData|void
Rte_IStatus_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSPOSData|void
Rte_IRead_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSWEData|void
Rte_IStatus_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphSWEData|void
Rte_IRead_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphVZFData|void
Rte_IStatus_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphVZFData|void
Rte_IRead_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphWLAData|void
Rte_IStatus_RRGLCyclic_PpDsRoadGraphDataSet_DeRoadgraphWLAData|void
Rte_IRead_RRGLCyclic_PpFRVZE_DeBVTS|void
Rte_IStatus_RRGLCyclic_PpFRVZE_DeBVTS|void
Rte_IRead_RRGLCyclic_PpFRVZE_DePduGrp_BVTS_xx|void
Rte_IStatus_RRGLCyclic_PpFRVZE_DePduGrp_BVTS_xx|void
Rte_IRead_RRGLCyclic_PpFRVZE_DePduGrp_VZE_01|void
Rte_IStatus_RRGLCyclic_PpFRVZE_DePduGrp_VZE_01|void
Rte_IRead_RRGLCyclic_PpFRVZE_DePduGrp_VZE_02|void
Rte_IStatus_RRGLCyclic_PpFRVZE_DePduGrp_VZE_02|void
Rte_IRead_RRGLCyclic_PpFRVZE_DePduGrp_VZE_03|void
Rte_IStatus_RRGLCyclic_PpFRVZE_DePduGrp_VZE_03|void
Rte_IRead_RRGLCyclic_PpFRVZE_DePduGrp_VZE_05|void
Rte_IStatus_RRGLCyclic_PpFRVZE_DePduGrp_VZE_05|void
Rte_IRead_RRGLCyclic_PpFRVZE_DeTraceData|void
Rte_IStatus_RRGLCyclic_PpFRVZE_DeTraceData|void
Rte_IRead_RRGLCyclic_PpFRVZE_DeVZE|void
Rte_IStatus_RRGLCyclic_PpFRVZE_DeVZE|void
Rte_IRead_RRGLCyclic_PpLanesMV_DeLanes|void
Rte_IStatus_RRGLCyclic_PpLanesMV_DeLanes|void
Rte_IRead_RRGLCyclic_PpOBFLightOutObjects_DeObjectListOBFLightOut|void
Rte_IStatus_RRGLCyclic_PpOBFLightOutObjects_DeObjectListOBFLightOut|void
Rte_IRead_RRGLCyclic_PpObjOBFMV_DeOBFObjMVMOD|void
Rte_IStatus_RRGLCyclic_PpObjOBFMV_DeOBFObjMVMOD|void
Rte_IRead_RRGLCyclic_PpObjOBFMV_DeOBFObjMVPED|void
Rte_IStatus_RRGLCyclic_PpObjOBFMV_DeOBFObjMVPED|void
Rte_IRead_RRGLCyclic_PpPFHwMeasurements_DeTHS|void
Rte_IStatus_RRGLCyclic_PpPFHwMeasurements_DeTHS|void
Rte_IRead_RRGLCyclic_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IStatus_RRGLCyclic_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IRead_RRGLCyclic_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IStatus_RRGLCyclic_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IRead_RRGLCyclic_PpPFProvidedData_DeIFSETVersion|void
Rte_IStatus_RRGLCyclic_PpPFProvidedData_DeIFSETVersion|void
Rte_IRead_RRGLCyclic_PpPFProvidedData_DeLCSAPHState|void
Rte_IStatus_RRGLCyclic_PpPFProvidedData_DeLCSAPHState|void
Rte_IRead_RRGLCyclic_PpPFProvidedData_DeLCSMVHState|void
Rte_IStatus_RRGLCyclic_PpPFProvidedData_DeLCSMVHState|void
Rte_IRead_RRGLCyclic_PpPFProvidedData_DeLCSSRHState|void
Rte_IStatus_RRGLCyclic_PpPFProvidedData_DeLCSSRHState|void
Rte_IRead_RRGLCyclic_PpPFProvidedData_DeLCSSSHState|void
Rte_IStatus_RRGLCyclic_PpPFProvidedData_DeLCSSSHState|void
Rte_IRead_RRGLCyclic_PpPFProvidedData_DeLCSSystemState|void
Rte_IStatus_RRGLCyclic_PpPFProvidedData_DeLCSSystemState|void
Rte_IRead_RRGLCyclic_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IStatus_RRGLCyclic_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IRead_RRGLCyclic_PpPFProvidedData_DeVARHWVariant|void
Rte_IStatus_RRGLCyclic_PpPFProvidedData_DeVARHWVariant|void
Rte_IRead_RRGLCyclic_PpPSD15_DeFRRGin|void
Rte_IStatus_RRGLCyclic_PpPSD15_DeFRRGin|void
Rte_IRead_RRGLCyclic_PpPSD15_DeMIBSDF201|void
Rte_IStatus_RRGLCyclic_PpPSD15_DeMIBSDF201|void
Rte_IRead_RRGLCyclic_PpPSD15_DePSD04|void
Rte_IStatus_RRGLCyclic_PpPSD15_DePSD04|void
Rte_IRead_RRGLCyclic_PpPSD15_DePSD05|void
Rte_IStatus_RRGLCyclic_PpPSD15_DePSD05|void
Rte_IRead_RRGLCyclic_PpPSD15_DePSD06m0|void
Rte_IStatus_RRGLCyclic_PpPSD15_DePSD06m0|void
Rte_IRead_RRGLCyclic_PpPSD15_DePSD06m1|void
Rte_IStatus_RRGLCyclic_PpPSD15_DePSD06m1|void
Rte_IRead_RRGLCyclic_PpPSD15_DePSD06m2|void
Rte_IStatus_RRGLCyclic_PpPSD15_DePSD06m2|void
Rte_IRead_RRGLCyclic_PpPSD15_DePSD06m3|void
Rte_IStatus_RRGLCyclic_PpPSD15_DePSD06m3|void
Rte_IRead_RRGLCyclic_PpPSD15_DePSD06m4|void
Rte_IStatus_RRGLCyclic_PpPSD15_DePSD06m4|void
Rte_IRead_RRGLCyclic_PpPSD15_DePSDLR01m0|void
Rte_IStatus_RRGLCyclic_PpPSD15_DePSDLR01m0|void
Rte_IRead_RRGLCyclic_PpPSD15_DePSDLR01m1|void
Rte_IStatus_RRGLCyclic_PpPSD15_DePSDLR01m1|void
Rte_IRead_RRGLCyclic_PpPSD15_DePSDLR01m2|void
Rte_IStatus_RRGLCyclic_PpPSD15_DePSDLR01m2|void
Rte_IRead_RRGLCyclic_PpPSD15_DePSDLR01m3|void
Rte_IStatus_RRGLCyclic_PpPSD15_DePSDLR01m3|void
Rte_IRead_RRGLCyclic_PpRSRMV_DeMVRoadSignRecognition|void
Rte_IStatus_RRGLCyclic_PpRSRMV_DeMVRoadSignRecognition|void
Rte_Send_CtApRoadGraphLight_PpWlaRGLight_DeWlaObjects|Dt_RECORD_WLA_RG
Rte_Write_CtApRoadGraphLight_PpDiagRoadGraphLightWrite_DeMesswerte_RoadGraphLight|Dt_RECORD_Messwert_RoadGraphLight
Rte_IWrite_RRGLCyclic_PpFRRGout_DeFRRGout|Dt_RECORD_FRRGout
Rte_IWriteRef_RRGLCyclic_PpFRRGout_DeFRRGout|void
Rte_IWrite_RRGLCyclic_PpFRRGout_DePduGrp_SDF2_Pos_01|Dt_BOOL_PduGroup
Rte_IWriteRef_RRGLCyclic_PpFRRGout_DePduGrp_SDF2_Pos_01|void
Rte_IWrite_RRGLCyclic_PpFRRGout_DeTraceData|Dt_RECORD_TraceData
Rte_IWriteRef_RRGLCyclic_PpFRRGout_DeTraceData|void
Rte_IWrite_RRGLCyclic_PpRGExtPSD_DeRGExtPSD|Dt_RECORD_RGExtractorPSD
Rte_IWriteRef_RRGLCyclic_PpRGExtPSD_DeRGExtPSD|void
Rte_IWrite_RRGLCyclic_PpRGLanes_DeLanes|Dt_RECORD_GeometryLanes
Rte_IWriteRef_RRGLCyclic_PpRGLanes_DeLanes|void
Rte_IWrite_RRGLCyclic_PpRGLVZE_DeBVTS|Dt_RECORD_BVTS
Rte_IWriteRef_RRGLCyclic_PpRGLVZE_DeBVTS|void
Rte_IWrite_RRGLCyclic_PpRGLVZE_DePduGrp_BVTS_xx|Dt_BOOL_PduGroup
Rte_IWriteRef_RRGLCyclic_PpRGLVZE_DePduGrp_BVTS_xx|void
Rte_IWrite_RRGLCyclic_PpRGLVZE_DePduGrp_VZE_01|Dt_BOOL_PduGroup
Rte_IWriteRef_RRGLCyclic_PpRGLVZE_DePduGrp_VZE_01|void
Rte_IWrite_RRGLCyclic_PpRGLVZE_DePduGrp_VZE_02|Dt_BOOL_PduGroup
Rte_IWriteRef_RRGLCyclic_PpRGLVZE_DePduGrp_VZE_02|void
Rte_IWrite_RRGLCyclic_PpRGLVZE_DePduGrp_VZE_03|Dt_BOOL_PduGroup
Rte_IWriteRef_RRGLCyclic_PpRGLVZE_DePduGrp_VZE_03|void
Rte_IWrite_RRGLCyclic_PpRGLVZE_DePduGrp_VZE_05|Dt_BOOL_PduGroup
Rte_IWriteRef_RRGLCyclic_PpRGLVZE_DePduGrp_VZE_05|void
Rte_IWrite_RRGLCyclic_PpRGLVZE_DeTraceData|Dt_RECORD_TraceData
Rte_IWriteRef_RRGLCyclic_PpRGLVZE_DeTraceData|void
Rte_IWrite_RRGLCyclic_PpRGLVZE_DeVZE|Dt_RECORD_VZE
Rte_IWriteRef_RRGLCyclic_PpRGLVZE_DeVZE|void
Rte_Call_CtApRoadGraphLight_PpEventHandling_GetEventStatus|Dem_EventIdType
Rte_Call_CtApRoadGraphLight_PpEventHandling_SetEventStatus|Dem_EventIdType
Rte_Call_CtApRoadGraphLight_PpPFServer_MW_SetSwcInfo|Dt_ENUM_SWCID
Rte_Call_CtApRoadGraphLight_PpPFServer_TS_ConvertAgt2Zgt|Dt_RECORD_TimestampAGT
Rte_Call_CtApRoadGraphLight_PpPFServer_TS_ConvertZgt2Agt|Dt_RECORD_Timestamp
Rte_Call_CtApRoadGraphLight_PpPFServer_TS_GetAgtTimestamp|Dt_RECORD_TimestampAGT
Rte_Call_CtApRoadGraphLight_PpPFServer_TS_GetRemainingTimeBudget|Dt_SINT32_1_0
Rte_Call_CtApRoadGraphLight_PpPFServer_TS_GetZgtTimestamp|Dt_RECORD_Timestamp
#RTE WHITELIST COUNT: 163
#####################################
#NON RTE WHITELIST
__d_dtof
cbrtf
Log_AddMsg
__d_dtoi
__d_dtos
strtoull
acosf
strtol
__f_ftoi
__ll_div64
BDL_StartUpload
strtod
__f_ftod
IsDebugModeLevel2Active
__f_ftos
fmodf
ceil
__d_sub
memcpy
_Sin
strstr
memmove
sin
fmod
strcmp
strncmp
cosf
memset
strcat
logf
__INDIRECT__
sincos
strchr
asin
abs
sprintf
atan2f
_Log_AddMsg
strcspn
__d_add
Mutex_GetMutex
__d_uitod
sinf
__d_mul
log
cos
IsDebugModeActive
__d_dtoui
__d_dtous
strcpy
acos
floorf
pow
ldexp
sqrtf
strncpy
__d_fge
__f_ulltof
BDL_FrameReceived
__d_fgt
memcmp
__d_itod
asinf
__ll_udiv64
__ll_urem64
tanf
__d_ulltod
expf
sscanf
__ll_ushr64
Mutex_ReleaseMutex
strtoll
tan
strlen
atanf
floor
sqrt
__d_feq
__f_ftouc
__d_div
ceilf
atan
strpbrk
strcasecmp
__f_ftous
BDL_ContinueUpload
powf
atan2
exp
sincosf
#####################################
#NON RTE WHITELIST INIT
strchr
_Log_AddMsg
memset
strstr
strcspn
Log_AddMsg
strncmp
IsDebugModeActive
strcat
strcasecmp
strpbrk
strcpy
IsDebugModeLevel2Active
__INDIRECT__
memcmp
strlen
memcpy
strncpy
strcmp
