# CtCdUltraSonicProcessing
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtCdUltraSonicProcessing\ContractHeader\Rte_CtCdUltraSonicProcessing.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtCdUltraSonicProcessing_PpDiagGlobalRead_DeFSPCleared|Dt_BOOL
Rte_Read_CtCdUltraSonicProcessing_PpDiagUltraSonicProcessingRead_DePlatform_zFAS_Ethernet_Security_0xEFB0|Dt_RECORD_Anpassung_Platform_zFAS_Ethernet_Security_0xEFB0
Rte_IsUpdated_CtCdUltraSonicProcessing_PpDiagUltraSonicProcessingRead_DePlatform_zFAS_Ethernet_Security_0xEFB0|void
Rte_Read_CtCdUltraSonicProcessing_PpDiagUltraSonicProcessingRead_DePlatform_zFAS_Logging_0x0503|Dt_RECORD_Anpassung_Platform_zFAS_Logging_0x0503
Rte_IsUpdated_CtCdUltraSonicProcessing_PpDiagUltraSonicProcessingRead_DePlatform_zFAS_Logging_0x0503|void
Rte_Read_CtCdUltraSonicProcessing_PpDiagUltraSonicProcessingRead_DePlatform_zFAS_USS_Design_Test_0x0502|Dt_RECORD_Anpassung_Platform_zFAS_USS_Design_Test_0x0502
Rte_IsUpdated_CtCdUltraSonicProcessing_PpDiagUltraSonicProcessingRead_DePlatform_zFAS_USS_Design_Test_0x0502|void
Rte_Read_CtCdUltraSonicProcessing_PpDiagUltraSonicProcessingRead_DeProductionmode_0x04FE|Dt_RECORD_Anpassung_Productionmode_0x04FE
Rte_IsUpdated_CtCdUltraSonicProcessing_PpDiagUltraSonicProcessingRead_DeProductionmode_0x04FE|void
Rte_IRead_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeColmCfg|void
Rte_IStatus_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeColmCfg|void
Rte_IRead_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeCustomerCfg_R|void
Rte_IStatus_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeCustomerCfg_R|void
Rte_IRead_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeDapmCfg|void
Rte_IStatus_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeDapmCfg|void
Rte_IRead_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeFilmCfg|void
Rte_IStatus_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeFilmCfg|void
Rte_IRead_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeIpaCfg_R|void
Rte_IStatus_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeIpaCfg_R|void
Rte_IRead_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeMopmCfg|void
Rte_IStatus_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeMopmCfg|void
Rte_IRead_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeOdomCfg|void
Rte_IStatus_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeOdomCfg|void
Rte_IRead_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeStateConfig|void
Rte_IStatus_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeStateConfig|void
Rte_IRead_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeVctmCfg|void
Rte_IStatus_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeVctmCfg|void
Rte_IRead_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeVdimCfg|void
Rte_IStatus_RUltraSonicProcessing40ms_PpDsParkControlDataSet_DeVdimCfg|void
Rte_IRead_RUltraSonicProcessing40ms_PpDsUltraSonicProcessingDataSet_DeUlsmFenceCfg|void
Rte_IStatus_RUltraSonicProcessing40ms_PpDsUltraSonicProcessingDataSet_DeUlsmFenceCfg|void
Rte_IRead_RUltraSonicProcessing40ms_PpFRUSpreProcessingIn_DeFRUSpreProcessingIn|void
Rte_IStatus_RUltraSonicProcessing40ms_PpFRUSpreProcessingIn_DeFRUSpreProcessingIn|void
Rte_IRead_RUltraSonicProcessing40ms_PpHSSwitchCtrl2UltraSonic_DeHSSwitchCtrl2UltraSonic|void
Rte_IStatus_RUltraSonicProcessing40ms_PpHSSwitchCtrl2UltraSonic_DeHSSwitchCtrl2UltraSonic|void
Rte_Read_CtCdUltraSonicProcessing_PpPdParkControlRead_DeCustomerCfg_RW_Normal|Dt_RECORD_CustomerCfg_RW
Rte_IsUpdated_CtCdUltraSonicProcessing_PpPdParkControlRead_DeCustomerCfg_RW_Normal|void
Rte_Read_CtCdUltraSonicProcessing_PpPdParkControlRead_DeDriverPreferences_RW_Critical|Dt_RECORD_CONF_personalization_cfg
Rte_IsUpdated_CtCdUltraSonicProcessing_PpPdParkControlRead_DeDriverPreferences_RW_Critical|void
Rte_Read_CtCdUltraSonicProcessing_PpPdParkControlRead_DeDynamicData_Pac_RW_Normal|Dt_RECORD_dynamic_data_pac_rw_cfg
Rte_IsUpdated_CtCdUltraSonicProcessing_PpPdParkControlRead_DeDynamicData_Pac_RW_Normal|void
Rte_Read_CtCdUltraSonicProcessing_PpPdParkControlRead_DeIpaCfg_RW_Normal|Dt_RECORD_IpaCfg_RW
Rte_IsUpdated_CtCdUltraSonicProcessing_PpPdParkControlRead_DeIpaCfg_RW_Normal|void
Rte_Read_CtCdUltraSonicProcessing_PpPdUltraSonicProcessingRead_DeDynamicData_Usp_RW_Normal|Dt_RECORD_dynamic_data_usp_rw_cfg
Rte_IsUpdated_CtCdUltraSonicProcessing_PpPdUltraSonicProcessingRead_DeDynamicData_Usp_RW_Normal|void
Rte_IRead_RUltraSonicProcessing40ms_PpPFHwMeasurements_DeTHS|void
Rte_IStatus_RUltraSonicProcessing40ms_PpPFHwMeasurements_DeTHS|void
Rte_IRead_RUltraSonicProcessing40ms_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IStatus_RUltraSonicProcessing40ms_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IRead_RUltraSonicProcessing40ms_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IStatus_RUltraSonicProcessing40ms_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IRead_RUltraSonicProcessing40ms_PpPFProvidedData_DeIFSETVersion|void
Rte_IStatus_RUltraSonicProcessing40ms_PpPFProvidedData_DeIFSETVersion|void
Rte_IRead_RUltraSonicProcessing40ms_PpPFProvidedData_DeLCSAPHState|void
Rte_IStatus_RUltraSonicProcessing40ms_PpPFProvidedData_DeLCSAPHState|void
Rte_IRead_RUltraSonicProcessing40ms_PpPFProvidedData_DeLCSMVHState|void
Rte_IStatus_RUltraSonicProcessing40ms_PpPFProvidedData_DeLCSMVHState|void
Rte_IRead_RUltraSonicProcessing40ms_PpPFProvidedData_DeLCSSRHState|void
Rte_IStatus_RUltraSonicProcessing40ms_PpPFProvidedData_DeLCSSRHState|void
Rte_IRead_RUltraSonicProcessing40ms_PpPFProvidedData_DeLCSSSHState|void
Rte_IStatus_RUltraSonicProcessing40ms_PpPFProvidedData_DeLCSSSHState|void
Rte_IRead_RUltraSonicProcessing40ms_PpPFProvidedData_DeLCSSystemState|void
Rte_IStatus_RUltraSonicProcessing40ms_PpPFProvidedData_DeLCSSystemState|void
Rte_IRead_RUltraSonicProcessing40ms_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IStatus_RUltraSonicProcessing40ms_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IRead_RUltraSonicProcessing40ms_PpPFProvidedData_DeVARHWVariant|void
Rte_IStatus_RUltraSonicProcessing40ms_PpPFProvidedData_DeVARHWVariant|void
Rte_IRead_RUltraSonicUpdate10ms_PpUSdebugIn_DeUSdebug|void
Rte_IStatus_RUltraSonicUpdate10ms_PpUSdebugIn_DeUSdebug|void
Rte_Send_CtCdUltraSonicProcessing_PpFencesUltraSonic_DeUSFreespaceFences|Dt_RECORD_USFreespaceFences
Rte_Send_CtCdUltraSonicProcessing_PpFencesUltraSonic_DeUSObstacleFences|Dt_RECORD_USObstacleFences
Rte_Send_CtCdUltraSonicProcessing_PpOBFObjUltraSonic_DeOBFObjUltraSonic|Dt_RECORD_USObjectList
Rte_Send_CtCdUltraSonicProcessing_PpUltraSonicProcessing2PerceptionAvailability_DeStatusUSSensors|Dt_RECORD_USStatusSensors
Rte_Write_CtCdUltraSonicProcessing_PpDiagUltraSonicProcessingWrite_DeMesswerte_UltraSonicProcessing|Dt_RECORD_Messwert_UltraSonicProcessing
Rte_IWrite_RUltraSonicProcessing40ms_PpFRUSout_DePduGrp_APS2_01|Dt_BOOL_PduGroup
Rte_IWriteRef_RUltraSonicProcessing40ms_PpFRUSout_DePduGrp_APS2_01|void
Rte_IWrite_RUltraSonicProcessing40ms_PpFRUSout_DePduGrp_APS2_02|Dt_BOOL_PduGroup
Rte_IWriteRef_RUltraSonicProcessing40ms_PpFRUSout_DePduGrp_APS2_02|void
Rte_IWrite_RUltraSonicProcessing40ms_PpFRUSout_DePduGrp_APS2_03|Dt_BOOL_PduGroup
Rte_IWriteRef_RUltraSonicProcessing40ms_PpFRUSout_DePduGrp_APS2_03|void
Rte_IWrite_RUltraSonicProcessing40ms_PpFRUSout_DePduGrp_APS2_Master|Dt_BOOL_PduGroup
Rte_IWriteRef_RUltraSonicProcessing40ms_PpFRUSout_DePduGrp_APS2_Master|void
Rte_IWrite_RUltraSonicProcessing40ms_PpFRUSout_DeTraceData|Dt_RECORD_TraceData
Rte_IWriteRef_RUltraSonicProcessing40ms_PpFRUSout_DeTraceData|void
Rte_IWrite_RUltraSonicProcessing40ms_PpFRUSout_DeUS2|Dt_RECORD_US2
Rte_IWriteRef_RUltraSonicProcessing40ms_PpFRUSout_DeUS2|void
Rte_Write_CtCdUltraSonicProcessing_PpPdUltraSonicProcessingWrite_DeDynamicData_Usp_RW_Normal|Dt_RECORD_dynamic_data_usp_rw_cfg
Rte_IWrite_RUltraSonicProcessing40ms_PpUltraSonic2HSSwitchCtrl_DeUltraSonic2HSSwitchCtrl|Dt_RECORD_UltraSonic2HSSwitchCtrl
Rte_IWriteRef_RUltraSonicProcessing40ms_PpUltraSonic2HSSwitchCtrl_DeUltraSonic2HSSwitchCtrl|void
Rte_IWrite_RUltraSonicUpdate10ms_PpUSdebugOut_DeUSdebug|Dt_RECORD_USdebug
Rte_IWriteRef_RUltraSonicUpdate10ms_PpUSdebugOut_DeUSdebug|void
Rte_Call_CtCdUltraSonicProcessing_PpEventHandling_GetEventStatus|Dem_EventIdType
Rte_Call_CtCdUltraSonicProcessing_PpEventHandling_SetEventStatus|Dem_EventIdType
Rte_Call_CtCdUltraSonicProcessing_PpPFServer_MW_SetSwcInfo|Dt_ENUM_SWCID
Rte_Call_CtCdUltraSonicProcessing_PpPFServer_TS_ConvertAgt2Zgt|Dt_RECORD_TimestampAGT
Rte_Call_CtCdUltraSonicProcessing_PpPFServer_TS_ConvertZgt2Agt|Dt_RECORD_Timestamp
Rte_Call_CtCdUltraSonicProcessing_PpPFServer_TS_GetAgtTimestamp|Dt_RECORD_TimestampAGT
Rte_Call_CtCdUltraSonicProcessing_PpPFServer_TS_GetRemainingTimeBudget|Dt_SINT32_1_0
Rte_Call_CtCdUltraSonicProcessing_PpPFServer_TS_GetZgtTimestamp|Dt_RECORD_Timestamp
#RTE WHITELIST COUNT: 112
#####################################
#NON RTE WHITELIST
cbrtf
Log_AddMsg
fclose
strtoull
acosf
fflush
strtol
BDL_StartUpload
strtod
__errno
Lin_BufferResponse
Lin_BufferGetStatus
ceil
_Stoul
memcpy
__aeabi_l2f
__aeabi_l2d
_Sin
strstr
memmove
__cxa_guard_abort
fmod
Lin_TriggerPending
strcmp
memchr
strncmp
cosf
memset
strcat
logf
__dso_handle
Lin_SendHeader
sincos
strchr
asin
__aeabi_ldivmod
sqrtf
abs
atan2f
_Log_AddMsg
strcspn
__cxa_guard_acquire
sinf
cos
IsDebugModeActive
__aeabi_ul2d
__aeabi_ul2f
strcpy
acos
__aeabi_uidivmod
fabsf
floorf
pow
ldexp
_Stoull
strncpy
log
BDL_FrameReceived
memcmp
__aeabi_uidiv
__aeabi_idiv
Lin_SendResponse
asinf
Lin_GetStatus
_FSinx
Lin_BufferHeader
tanf
localeconv
__aeabi_d2lz
__cxa_guard_release
expf
sscanf
abort
fprintf
_Getpmbstate
_Ctype
strtoll
tan
strlen
atanf
floor
__aeabi_idivmod
sqrt
_Touptab
_Getpwcstate
fmodf
sin
Lin_WakeUp
ceilf
__cxa_pure_virtual
_Tolotab
atan
strpbrk
__aeabi_d2ulz
__aeabi_uldivmod
Lin_GetLogStatus
strcasecmp
BDL_ContinueUpload
powf
atan2
exp
__aeabi_f2lz
__aeabi_f2ulz
sincosf
_Stod
#####################################
#NON RTE WHITELIST INIT
__aeabi_uidivmod
cbrtf
Log_AddMsg
fclose
strtoull
acosf
fflush
strtol
strtod
__errno
Lin_BufferResponse
Lin_BufferGetStatus
ceil
_Stoul
__cxa_vec_new2
memcpy
__aeabi_l2f
__aeabi_l2d
_Sin
strstr
memmove
__cxa_guard_abort
fmod
Lin_TriggerPending
strcmp
memchr
strncmp
cosf
memset
__cxa_vec_cctor
strcat
logf
__dso_handle
Lin_SendHeader
sincos
strchr
asin
__aeabi_d2ulz
sqrtf
abs
atan2f
_Log_AddMsg
strcspn
__cxa_guard_acquire
sinf
cos
IsDebugModeActive
__aeabi_ul2d
__aeabi_ul2f
strcpy
acos
__cxa_atexit
fabsf
floorf
pow
ldexp
_Stoull
strncpy
log
__aeabi_atexit
memcmp
__aeabi_uidiv
__aeabi_idiv
Lin_SendResponse
asinf
Lin_GetStatus
_FSinx
__cxa_vec_ctor
Lin_BufferHeader
Lin_Init
tanf
localeconv
__aeabi_d2lz
__cxa_guard_release
expf
malloc
sscanf
abort
fprintf
_Getpmbstate
_Ctype
strtoll
tan
strlen
atanf
floor
__aeabi_idivmod
sqrt
_Touptab
_Getpwcstate
fmodf
sin
Lin_WakeUp
ceilf
__cxa_pure_virtual
_Tolotab
atan
strpbrk
__aeabi_ldivmod
__aeabi_uldivmod
Lin_GetLogStatus
strcasecmp
powf
Lin_InitChannel
atan2
exp
__aeabi_f2lz
__aeabi_f2ulz
sincosf
_Stod
