# CtApObjectFusionLight
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtApObjectFusionLight\ContractHeader\Rte_CtApObjectFusionLight.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtApObjectFusionLight_PpDiagGlobalRead_DeFSPCleared|Dt_BOOL
Rte_IsUpdated_CtApObjectFusionLight_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|void
Rte_Read_CtApObjectFusionLight_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|Dt_RECORD_Anpassung_Platform_zFAS_hil_mode_0x0500
Rte_IsUpdated_CtApObjectFusionLight_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|void
Rte_Read_CtApObjectFusionLight_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|Dt_RECORD_Anpassung_Roller_Test_Stand_Mode_0x04FB
Rte_IsUpdated_CtApObjectFusionLight_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|void
Rte_IRead_ROBFLightMain_PpDsObjectFusionDataSet_DeOFParameters|void
Rte_IStatus_ROBFLightMain_PpDsObjectFusionDataSet_DeOFParameters|void
Rte_IRead_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphEHRDBData|void
Rte_IStatus_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphEHRDBData|void
Rte_IRead_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphERDData|void
Rte_IStatus_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphERDData|void
Rte_IRead_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphRGData|void
Rte_IStatus_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphRGData|void
Rte_IRead_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphRGLAData|void
Rte_IStatus_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphRGLAData|void
Rte_IRead_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphRGLData|void
Rte_IStatus_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphRGLData|void
Rte_IRead_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphRGLDIAGData|void
Rte_IStatus_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphRGLDIAGData|void
Rte_IRead_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphROBJData|void
Rte_IStatus_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphROBJData|void
Rte_IRead_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSEData|void
Rte_IStatus_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSEData|void
Rte_IRead_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSNAVData|void
Rte_IStatus_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSNAVData|void
Rte_IRead_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSOBJData|void
Rte_IStatus_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSOBJData|void
Rte_IRead_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSPFData|void
Rte_IStatus_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSPFData|void
Rte_IRead_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSPOSData|void
Rte_IStatus_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSPOSData|void
Rte_IRead_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSWEData|void
Rte_IStatus_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphSWEData|void
Rte_IRead_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphVZFData|void
Rte_IStatus_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphVZFData|void
Rte_IRead_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphWLAData|void
Rte_IStatus_ROBFLightMain_PpDsRoadGraphDataSet_DeRoadgraphWLAData|void
Rte_IRead_ROBFLightMain_PpOBFLightInObjects_DeObjectListOBFLightIn|void
Rte_IStatus_ROBFLightMain_PpOBFLightInObjects_DeObjectListOBFLightIn|void
Rte_IRead_ROBFLightMain_PpObjOBFMV_DeOBFObjMVMOD|void
Rte_IStatus_ROBFLightMain_PpObjOBFMV_DeOBFObjMVMOD|void
Rte_IRead_ROBFLightMain_PpObjOBFMV_DeOBFObjMVPED|void
Rte_IStatus_ROBFLightMain_PpObjOBFMV_DeOBFObjMVPED|void
Rte_IRead_ROBFLightMain_PpPFHwMeasurements_DeTHS|void
Rte_IStatus_ROBFLightMain_PpPFHwMeasurements_DeTHS|void
Rte_IRead_ROBFLightMain_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IStatus_ROBFLightMain_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IRead_ROBFLightMain_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IStatus_ROBFLightMain_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IRead_ROBFLightMain_PpPFProvidedData_DeIFSETVersion|void
Rte_IStatus_ROBFLightMain_PpPFProvidedData_DeIFSETVersion|void
Rte_IRead_ROBFLightMain_PpPFProvidedData_DeLCSAPHState|void
Rte_IStatus_ROBFLightMain_PpPFProvidedData_DeLCSAPHState|void
Rte_IRead_ROBFLightMain_PpPFProvidedData_DeLCSMVHState|void
Rte_IStatus_ROBFLightMain_PpPFProvidedData_DeLCSMVHState|void
Rte_IRead_ROBFLightMain_PpPFProvidedData_DeLCSSRHState|void
Rte_IStatus_ROBFLightMain_PpPFProvidedData_DeLCSSRHState|void
Rte_IRead_ROBFLightMain_PpPFProvidedData_DeLCSSSHState|void
Rte_IStatus_ROBFLightMain_PpPFProvidedData_DeLCSSSHState|void
Rte_IRead_ROBFLightMain_PpPFProvidedData_DeLCSSystemState|void
Rte_IStatus_ROBFLightMain_PpPFProvidedData_DeLCSSystemState|void
Rte_IRead_ROBFLightMain_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IStatus_ROBFLightMain_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IRead_ROBFLightMain_PpPFProvidedData_DeVARHWVariant|void
Rte_IStatus_ROBFLightMain_PpPFProvidedData_DeVARHWVariant|void
Rte_IWrite_ROBFLightMain_PpOBFLightOutObjects_DeObjectListOBFLightOut|Dt_RECORD_ObjectListOBFLightOut
Rte_IWriteRef_ROBFLightMain_PpOBFLightOutObjects_DeObjectListOBFLightOut|void
Rte_IWrite_ROBFLightMain_PpOBFLightOutObjectsACF_DeObjectListOBFLightOutACF|Dt_RECORD_ACFObjectList
Rte_IWriteRef_ROBFLightMain_PpOBFLightOutObjectsACF_DeObjectListOBFLightOutACF|void
Rte_IWrite_ROBFLightMain_PpObjectFusionLightTraceData_DeTraceData|Dt_RECORD_TraceData
Rte_IWriteRef_ROBFLightMain_PpObjectFusionLightTraceData_DeTraceData|void
Rte_IWrite_ROBFLightMain_PpPerceptionAvailabilityACFObs_DePerceptionAvailabilityACFObs|Dt_RECORD_PerceptionAvailabilityACFObs
Rte_IWriteRef_ROBFLightMain_PpPerceptionAvailabilityACFObs_DePerceptionAvailabilityACFObs|void
Rte_IWrite_ROBFLightMain_PpPerceptionAvailabilityKASQVA_DePerceptionAvailabilityKASQVA|Dt_RECORD_PerceptionAvailabilityKASQVA
Rte_IWriteRef_ROBFLightMain_PpPerceptionAvailabilityKASQVA_DePerceptionAvailabilityKASQVA|void
Rte_IWrite_ROBFLightMain_PpPerceptionAvailabilityLight_DePerceptionAvailabilityLight|Dt_RECORD_PerceptionAvailabilityLight
Rte_IWriteRef_ROBFLightMain_PpPerceptionAvailabilityLight_DePerceptionAvailabilityLight|void
Rte_IWrite_ROBFLightMain_PpPerceptionAvailabilityPark_DePerceptionAvailabilityPark|Dt_RECORD_PerceptionAvailabilityPark
Rte_IWriteRef_ROBFLightMain_PpPerceptionAvailabilityPark_DePerceptionAvailabilityPark|void
Rte_IWrite_ROBFLightMain_PpPerceptionAvailabilityPreCrash_DePerceptionAvailabilityPreCrash|Dt_RECORD_PerceptionAvailabilityPreCrash
Rte_IWriteRef_ROBFLightMain_PpPerceptionAvailabilityPreCrash_DePerceptionAvailabilityPreCrash|void
Rte_Call_CtApObjectFusionLight_PpEventHandling_GetEventStatus|Dem_EventIdType
Rte_Call_CtApObjectFusionLight_PpEventHandling_SetEventStatus|Dem_EventIdType
Rte_Call_CtApObjectFusionLight_PpPFServer_MW_SetSwcInfo|Dt_ENUM_SWCID
Rte_Call_CtApObjectFusionLight_PpPFServer_TS_ConvertAgt2Zgt|Dt_RECORD_TimestampAGT
Rte_Call_CtApObjectFusionLight_PpPFServer_TS_ConvertZgt2Agt|Dt_RECORD_Timestamp
Rte_Call_CtApObjectFusionLight_PpPFServer_TS_GetAgtTimestamp|Dt_RECORD_TimestampAGT
Rte_Call_CtApObjectFusionLight_PpPFServer_TS_GetRemainingTimeBudget|Dt_SINT32_1_0
Rte_Call_CtApObjectFusionLight_PpPFServer_TS_GetZgtTimestamp|Dt_RECORD_Timestamp
#RTE WHITELIST COUNT: 107
#####################################
#NON RTE WHITELIST
__d_dtof
cbrtf
Log_AddMsg
__d_dtoi
__d_dtos
strtoull
acosf
strtol
__f_ftoi
__ll_div64
BDL_StartUpload
strtod
__f_ftod
IsDebugModeLevel2Active
__f_ftos
fmodf
ceil
__d_sub
memcpy
_Sin
strstr
memmove
sin
fmod
strcmp
strncmp
cosf
memset
strcat
logf
__INDIRECT__
sincos
strchr
asin
abs
sprintf
atan2f
_Log_AddMsg
strcspn
__d_add
__d_uitod
sinf
__d_mul
log
cos
IsDebugModeActive
__d_dtoui
__d_dtous
strcpy
acos
floorf
pow
ldexp
sqrtf
strncpy
__d_fge
__f_ulltof
BDL_FrameReceived
__d_fgt
memcmp
__d_itod
asinf
__ll_udiv64
__ll_urem64
tanf
__d_ulltod
expf
sscanf
__ll_ushr64
strtoll
tan
strlen
atanf
floor
sqrt
__d_feq
__f_ftouc
__d_div
ceilf
atan
strpbrk
strcasecmp
__f_ftous
BDL_ContinueUpload
powf
atan2
exp
sincosf
#####################################
#NON RTE WHITELIST INIT
strchr
_Log_AddMsg
memset
strstr
strcspn
Log_AddMsg
strncmp
IsDebugModeActive
strcat
strcasecmp
strpbrk
strcpy
IsDebugModeLevel2Active
__INDIRECT__
memcmp
strlen
memcpy
strncpy
strcmp
