# CtApEML
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtApEML\ContractHeader\Rte_CtApEML.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtApEML_PpDiagEMLRead_DeEgoMaster_reset_adaption_values_0x05E7|Dt_RECORD_Routine_EgoMaster_reset_adaption_values_0x05E7_Call
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_ESP21|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_ESP21|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_ESP22|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_ESP22|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_ESP32|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_ESP32|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_ESP44|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_ESP44|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_Fahrwerk01|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_Fahrwerk01|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_Getriebe11|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_Getriebe11|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_Getriebe12|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_Getriebe12|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_Getriebe13|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_Getriebe13|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_Getriebe15|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_Getriebe15|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_Getriebe17|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_Getriebe17|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_HAL01|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_HAL01|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_LHEPS03|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_LHEPS03|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_LHEPS04|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_LHEPS04|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_LWI01|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_LWI01|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_LWRAFS01|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_LWRAFS01|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_Motor11|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_Motor11|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_Motor12|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_Motor12|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_Motor14|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_Motor14|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_Motor16|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_Motor16|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_MotorCode01|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_MotorCode01|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_NavData01|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_NavData01|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_NavData02|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_NavData02|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_NavData03|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_NavData03|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_NavPos01|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_NavPos01|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_SARA07|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_SARA07|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_SARA08|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_SARA08|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_SARA10|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_SARA10|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_SARA12|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_SARA12|void
Rte_IRead_REMLmain_PpFREMLinput_DeFREMLinput_SCU01|void
Rte_IStatus_REMLmain_PpFREMLinput_DeFREMLinput_SCU01|void
Rte_Read_CtApEML_PpPdEMLRead_DeEML_G_ReadWrite_Normal|Dt_RECORD_EML_G_ReadWrite
Rte_IsUpdated_CtApEML_PpPdEMLRead_DeEML_G_ReadWrite_Normal|void
Rte_Read_CtApEML_PpPdEMLRead_DeEML_I_ReadWrite_Normal|Dt_RECORD_EML_I_ReadWrite
Rte_IsUpdated_CtApEML_PpPdEMLRead_DeEML_I_ReadWrite_Normal|void
Rte_Read_CtApEML_PpPdEMLRead_DeEML_Reserved_ReadWrite_Normal|Dt_RECORD_EML_Reserved_ReadWrite
Rte_IsUpdated_CtApEML_PpPdEMLRead_DeEML_Reserved_ReadWrite_Normal|void
Rte_Read_CtApEML_PpPdEMLRead_DeEML_V_ReadWrite_Normal|Dt_RECORD_EML_V_ReadWrite
Rte_IsUpdated_CtApEML_PpPdEMLRead_DeEML_V_ReadWrite_Normal|void
Rte_IRead_REMLmain_PpPFHwMeasurements_DeTHS|void
Rte_IStatus_REMLmain_PpPFHwMeasurements_DeTHS|void
Rte_IRead_REMLmain_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IStatus_REMLmain_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IRead_REMLmain_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IStatus_REMLmain_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IRead_REMLmain_PpPFProvidedData_DeIFSETVersion|void
Rte_IStatus_REMLmain_PpPFProvidedData_DeIFSETVersion|void
Rte_IRead_REMLmain_PpPFProvidedData_DeLCSAPHState|void
Rte_IStatus_REMLmain_PpPFProvidedData_DeLCSAPHState|void
Rte_IRead_REMLmain_PpPFProvidedData_DeLCSMVHState|void
Rte_IStatus_REMLmain_PpPFProvidedData_DeLCSMVHState|void
Rte_IRead_REMLmain_PpPFProvidedData_DeLCSSRHState|void
Rte_IStatus_REMLmain_PpPFProvidedData_DeLCSSRHState|void
Rte_IRead_REMLmain_PpPFProvidedData_DeLCSSSHState|void
Rte_IStatus_REMLmain_PpPFProvidedData_DeLCSSSHState|void
Rte_IRead_REMLmain_PpPFProvidedData_DeLCSSystemState|void
Rte_IStatus_REMLmain_PpPFProvidedData_DeLCSSystemState|void
Rte_IRead_REMLmain_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IStatus_REMLmain_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IRead_REMLmain_PpPFProvidedData_DeVARHWVariant|void
Rte_IStatus_REMLmain_PpPFProvidedData_DeVARHWVariant|void
Rte_Send_CtApEML_PpDiagEMLWrite_DeEgoMaster_reset_adaption_values_0x05E7|Dt_RECORD_Routine_EgoMaster_reset_adaption_values_0x05E7_RetVal
Rte_Send_CtApEML_PpEML_DeEML|Dt_RECORD_EML
Rte_Write_CtApEML_PpDiagEMLWrite_DeMesswerte_EML|Dt_RECORD_Messwert_EML
Rte_IWrite_REMLmain_PpFREMLoutput_DeFREMLoutput|Dt_RECORD_FREMLoutput
Rte_IWriteRef_REMLmain_PpFREMLoutput_DeFREMLoutput|void
Rte_IWrite_REMLmain_PpFREMLoutput_DePduGrp_EML_01|Dt_BOOL_PduGroup
Rte_IWriteRef_REMLmain_PpFREMLoutput_DePduGrp_EML_01|void
Rte_IWrite_REMLmain_PpFREMLoutput_DePduGrp_EML_02|Dt_BOOL_PduGroup
Rte_IWriteRef_REMLmain_PpFREMLoutput_DePduGrp_EML_02|void
Rte_IWrite_REMLmain_PpFREMLoutput_DePduGrp_EML_03|Dt_BOOL_PduGroup
Rte_IWriteRef_REMLmain_PpFREMLoutput_DePduGrp_EML_03|void
Rte_IWrite_REMLmain_PpFREMLoutput_DePduGrp_EML_04|Dt_BOOL_PduGroup
Rte_IWriteRef_REMLmain_PpFREMLoutput_DePduGrp_EML_04|void
Rte_IWrite_REMLmain_PpFREMLoutput_DePduGrp_EML_05|Dt_BOOL_PduGroup
Rte_IWriteRef_REMLmain_PpFREMLoutput_DePduGrp_EML_05|void
Rte_IWrite_REMLmain_PpFREMLoutput_DeTraceData|Dt_RECORD_TraceData
Rte_IWriteRef_REMLmain_PpFREMLoutput_DeTraceData|void
Rte_Write_CtApEML_PpPdEMLWrite_DeEML_G_ReadWrite_Normal|Dt_RECORD_EML_G_ReadWrite
Rte_Write_CtApEML_PpPdEMLWrite_DeEML_I_ReadWrite_Normal|Dt_RECORD_EML_I_ReadWrite
Rte_Write_CtApEML_PpPdEMLWrite_DeEML_Reserved_ReadWrite_Normal|Dt_RECORD_EML_Reserved_ReadWrite
Rte_Write_CtApEML_PpPdEMLWrite_DeEML_V_ReadWrite_Normal|Dt_RECORD_EML_V_ReadWrite
Rte_Call_CtApEML_PpEventHandling_GetEventStatus|Dem_EventIdType
Rte_Call_CtApEML_PpEventHandling_SetEventStatus|Dem_EventIdType
Rte_Call_CtApEML_PpPFServer_MW_SetSwcInfo|Dt_ENUM_SWCID
Rte_Call_CtApEML_PpPFServer_TS_ConvertAgt2Zgt|Dt_RECORD_TimestampAGT
Rte_Call_CtApEML_PpPFServer_TS_ConvertZgt2Agt|Dt_RECORD_Timestamp
Rte_Call_CtApEML_PpPFServer_TS_GetAgtTimestamp|Dt_RECORD_TimestampAGT
Rte_Call_CtApEML_PpPFServer_TS_GetRemainingTimeBudget|Dt_SINT32_1_0
Rte_Call_CtApEML_PpPFServer_TS_GetZgtTimestamp|Dt_RECORD_Timestamp
#RTE WHITELIST COUNT: 170
#####################################
#NON RTE WHITELIST
_Log_AddMsg
IsDebugModeActive
BDL_ContinueUpload
BDL_FrameReceived
IsDebugModeLevel2Active
__INDIRECT__
Log_AddMsg
BDL_StartUpload
#####################################
#NON RTE WHITELIST INIT
_Log_AddMsg
Log_AddMsg
IsDebugModeLevel2Active
__INDIRECT__
IsDebugModeActive
#####################################
#NON RTE WHITELIST from TEST SESSION
sqrtf
sinf
floorf
cosf
atan2f
expf
powf
atanf
memset
