# CtApFASProfileMaster
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtApFASProfileMaster\ContractHeader\Rte_CtApFASProfileMaster.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeProfile_master_reset_personalized_settings_0x067B|Dt_RECORD_Routine_Profile_master_reset_personalized_settings_0x067B_Call
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Active_Lane_Daparture_Warning_after_Kl_15_on_0x0544|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Crossing_Assist_after_Kl_15_on_0x0543|Dt_RECORD_Anpassung_FAS_PM_Status_Crossing_Assist_after_Kl_15_on_0x0543
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Crossing_Assist_after_Kl_15_on_0x0543|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Distance_Warner_High_after_Kl_15_on_0x0546|Dt_RECORD_Anpassung_FAS_PM_Status_Distance_Warner_High_after_Kl_15_on_0x0546
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Distance_Warner_High_after_Kl_15_on_0x0546|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Distance_Warner_Low_after_Kl_15_on_0x054D|Dt_RECORD_Anpassung_FAS_PM_Status_Distance_Warner_Low_after_Kl_15_on_0x054D
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Distance_Warner_Low_after_Kl_15_on_0x054D|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Emergency_Assist_after_Kl_15_on_0x0542|Dt_RECORD_Anpassung_FAS_PM_Status_Emergency_Assist_after_Kl_15_on_0x0542
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Emergency_Assist_after_Kl_15_on_0x0542|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Exit_Warner_after_Kl_15_on_0x0549|Dt_RECORD_Anpassung_FAS_PM_Status_Exit_Warner_after_Kl_15_on_0x0549
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Exit_Warner_after_Kl_15_on_0x0549|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Local_Emergency_Warning_after_Kl_15_on_0x054B|Dt_RECORD_Anpassung_FAS_PM_Status_Local_Emergency_Warning_after_Kl_15_on_0x054B
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Local_Emergency_Warning_after_Kl_15_on_0x054B|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Nightvision_after_Kl_15_on_0x054A|Dt_RECORD_Anpassung_FAS_PM_Status_Nightvision_after_Kl_15_on_0x054A
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Nightvision_after_Kl_15_on_0x054A|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_PreSense_after_Kl_15_on_0x054C|Dt_RECORD_Anpassung_FAS_PM_Status_PreSense_after_Kl_15_on_0x054C
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_PreSense_after_Kl_15_on_0x054C|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Side_Assist_after_Kl_15_on_0x0548|Dt_RECORD_Anpassung_FAS_PM_Status_Side_Assist_after_Kl_15_on_0x0548
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Side_Assist_after_Kl_15_on_0x0548|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Tiredness_Warning_after_Kl_15_on_0x0547|Dt_RECORD_Anpassung_FAS_PM_Status_Tiredness_Warning_after_Kl_15_on_0x0547
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Tiredness_Warning_after_Kl_15_on_0x0547|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Traffic_Jam_Pilot_after_Kl_15_on_0x0545|Dt_RECORD_Anpassung_FAS_PM_Status_Traffic_Jam_Pilot_after_Kl_15_on_0x0545
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Status_Traffic_Jam_Pilot_after_Kl_15_on_0x0545|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Time_for_retry_profile_status_0x0534|Dt_RECORD_Anpassung_FAS_PM_Time_for_retry_profile_status_0x0534
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Time_for_retry_profile_status_0x0534|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Tiredness_Warning_activation_clearing_0x053A|Dt_RECORD_Anpassung_FAS_PM_Tiredness_Warning_activation_clearing_0x053A
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Tiredness_Warning_activation_clearing_0x053A|void
Rte_Read_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Traffic_Jam_Pilot_activation_clearing_0x0538|Dt_RECORD_Anpassung_FAS_PM_Traffic_Jam_Pilot_activation_clearing_0x0538
Rte_IsUpdated_CtApFASProfileMaster_PpDiagFASProfileMasterRead_DeFAS_PM_Traffic_Jam_Pilot_activation_clearing_0x0538|void
Rte_Read_CtApFASProfileMaster_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|Dt_RECORD_Anpassung_Deactivate_hardware_in_the_loop_mode_0x0BEA
Rte_IsUpdated_CtApFASProfileMaster_PpDiagGlobalRead_DeDeactivate_hardware_in_the_loop_mode_0x0BEA|void
Rte_Read_CtApFASProfileMaster_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|Dt_RECORD_Anpassung_Platform_zFAS_hil_mode_0x0500
Rte_IsUpdated_CtApFASProfileMaster_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500|void
Rte_Read_CtApFASProfileMaster_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|Dt_RECORD_Anpassung_Roller_Test_Stand_Mode_0x04FB
Rte_IsUpdated_CtApFASProfileMaster_PpDiagGlobalRead_DeRoller_Test_Stand_Mode_0x04FB|void
Rte_IRead_RFASProfileMasterCyclic_PpDsFASProfileMasterDataSet_DeFASProfileMasterDataSet|void
Rte_IStatus_RFASProfileMasterCyclic_PpDsFASProfileMasterDataSet_DeFASProfileMasterDataSet|void
Rte_IRead_RFASProfileMasterCyclic_PpFoDFASProfileMaster_DeFoDFASProfileMaster|void
Rte_IStatus_RFASProfileMasterCyclic_PpFoDFASProfileMaster_DeFoDFASProfileMaster|void
Rte_IRead_RFASProfileMasterCyclic_PpFRACFStateMachineOut_DeFRACFStateMachineOut|void
Rte_IStatus_RFASProfileMasterCyclic_PpFRACFStateMachineOut_DeFRACFStateMachineOut|void
Rte_IRead_RFASProfileMasterCyclic_PpFRACFStateMachineOut_DePduGrp_FAS_VK_01|void
Rte_IStatus_RFASProfileMasterCyclic_PpFRACFStateMachineOut_DePduGrp_FAS_VK_01|void
Rte_IRead_RFASProfileMasterCyclic_PpFRACFStateMachineOut_DePduGrp_STP_03|void
Rte_IStatus_RFASProfileMasterCyclic_PpFRACFStateMachineOut_DePduGrp_STP_03|void
Rte_IRead_RFASProfileMasterCyclic_PpFRACFStateMachineOut_DeTraceData|void
Rte_IStatus_RFASProfileMasterCyclic_PpFRACFStateMachineOut_DeTraceData|void
Rte_IRead_RFASProfileMasterCyclic_PpFRFASProfileMasterIn_DeFRFASProfileMasterIn|void
Rte_IStatus_RFASProfileMasterCyclic_PpFRFASProfileMasterIn_DeFRFASProfileMasterIn|void
Rte_IRead_RFASProfileMasterCyclic_PpFRParkMonitorout_DeFRParkMonitorout|void
Rte_IStatus_RFASProfileMasterCyclic_PpFRParkMonitorout_DeFRParkMonitorout|void
Rte_IRead_RFASProfileMasterCyclic_PpFRParkMonitorout_DeTraceData|void
Rte_IStatus_RFASProfileMasterCyclic_PpFRParkMonitorout_DeTraceData|void
Rte_IRead_RFASProfileMasterCyclic_PpKASStatusProfileMaster_DeKASStatusProfileMaster|void
Rte_IStatus_RFASProfileMasterCyclic_PpKASStatusProfileMaster_DeKASStatusProfileMaster|void
Rte_Read_CtApFASProfileMaster_PpPdFASProfileMasterRead_DeFASProfileMasterParameters_Critical|Dt_RECORD_FASProfileMasterParameters_Critical
Rte_IsUpdated_CtApFASProfileMaster_PpPdFASProfileMasterRead_DeFASProfileMasterParameters_Critical|void
Rte_IRead_RFASProfileMasterCyclic_PpPFHwMeasurements_DeTHS|void
Rte_IStatus_RFASProfileMasterCyclic_PpPFHwMeasurements_DeTHS|void
Rte_IRead_RFASProfileMasterCyclic_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IStatus_RFASProfileMasterCyclic_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IRead_RFASProfileMasterCyclic_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IStatus_RFASProfileMasterCyclic_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IRead_RFASProfileMasterCyclic_PpPFProvidedData_DeIFSETVersion|void
Rte_IStatus_RFASProfileMasterCyclic_PpPFProvidedData_DeIFSETVersion|void
Rte_IRead_RFASProfileMasterCyclic_PpPFProvidedData_DeLCSAPHState|void
Rte_IStatus_RFASProfileMasterCyclic_PpPFProvidedData_DeLCSAPHState|void
Rte_IRead_RFASProfileMasterCyclic_PpPFProvidedData_DeLCSMVHState|void
Rte_IStatus_RFASProfileMasterCyclic_PpPFProvidedData_DeLCSMVHState|void
Rte_IRead_RFASProfileMasterCyclic_PpPFProvidedData_DeLCSSRHState|void
Rte_IStatus_RFASProfileMasterCyclic_PpPFProvidedData_DeLCSSRHState|void
Rte_IRead_RFASProfileMasterCyclic_PpPFProvidedData_DeLCSSSHState|void
Rte_IStatus_RFASProfileMasterCyclic_PpPFProvidedData_DeLCSSSHState|void
Rte_IRead_RFASProfileMasterCyclic_PpPFProvidedData_DeLCSSystemState|void
Rte_IStatus_RFASProfileMasterCyclic_PpPFProvidedData_DeLCSSystemState|void
Rte_IRead_RFASProfileMasterCyclic_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IStatus_RFASProfileMasterCyclic_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IRead_RFASProfileMasterCyclic_PpPFProvidedData_DeVARHWVariant|void
Rte_IStatus_RFASProfileMasterCyclic_PpPFProvidedData_DeVARHWVariant|void
Rte_Send_CtApFASProfileMaster_PpDiagFASProfileMasterWrite_DeProfile_master_reset_personalized_settings_0x067B|Dt_RECORD_Routine_Profile_master_reset_personalized_settings_0x067B_RetVal
Rte_Send_CtApFASProfileMaster_PpPM2EthComTransferCommand_DePM2EthComTransferCommand|Dt_RECORD_PM2EthComTransferCommand
Rte_Write_CtApFASProfileMaster_Bap_Freigabe_DAF_Interface_BapFreigabe|Dt_BOOL
Rte_Write_CtApFASProfileMaster_Bap_Freigabe_FAS_Profiles_BapFreigabe|Dt_BOOL
Rte_IWrite_RFASProfileMasterCyclic_PpDiagFASProfileMasterWrite_DeMesswerte_FASProfileMaster|Dt_RECORD_Messwert_FASProfileMaster
Rte_IWriteRef_RFASProfileMasterCyclic_PpDiagFASProfileMasterWrite_DeMesswerte_FASProfileMaster|void
Rte_IWrite_RFASProfileMasterCyclic_PpEcuComRequestsFASProfileMaster_DePartialNetwork|Dt_RECORD_DePartialNetwork
Rte_IWriteRef_RFASProfileMasterCyclic_PpEcuComRequestsFASProfileMaster_DePartialNetwork|void
Rte_IWrite_RFASProfileMasterCyclic_PpEcuComRequestsFASProfileMaster_DeRequestsAFSCanRun|Dt_BOOL
Rte_IWriteRef_RFASProfileMasterCyclic_PpEcuComRequestsFASProfileMaster_DeRequestsAFSCanRun|void
Rte_IWrite_RFASProfileMasterCyclic_PpEcuComRequestsFASProfileMaster_DeRequestsECURun|Dt_BOOL
Rte_IWriteRef_RFASProfileMasterCyclic_PpEcuComRequestsFASProfileMaster_DeRequestsECURun|void
Rte_IWrite_RFASProfileMasterCyclic_PpEcuComRequestsFASProfileMaster_DeRequestsFlexRayRun|Dt_BOOL
Rte_IWriteRef_RFASProfileMasterCyclic_PpEcuComRequestsFASProfileMaster_DeRequestsFlexRayRun|void
Rte_IWrite_RFASProfileMasterCyclic_PpFASProfileMasterACF_DeFASProfileMasterACF|Dt_RECORD_FASProfileMasterACF
Rte_IWriteRef_RFASProfileMasterCyclic_PpFASProfileMasterACF_DeFASProfileMasterACF|void
Rte_IWrite_RFASProfileMasterCyclic_PpFASProfileMasterKAS_DeFASProfileMasterKAS|Dt_RECORD_FASProfileMasterKAS
Rte_IWriteRef_RFASProfileMasterCyclic_PpFASProfileMasterKAS_DeFASProfileMasterKAS|void
Rte_IWrite_RFASProfileMasterCyclic_PpFRFASProfileMasterOut_DeFRFASProfileMasterOut|Dt_RECORD_FRFASProfileMasterOut
Rte_IWriteRef_RFASProfileMasterCyclic_PpFRFASProfileMasterOut_DeFRFASProfileMasterOut|void
Rte_IWrite_RFASProfileMasterCyclic_PpFRFASProfileMasterOut_DePduGrp_FAS_ProfileMaster_01|Dt_BOOL_PduGroup
Rte_IWriteRef_RFASProfileMasterCyclic_PpFRFASProfileMasterOut_DePduGrp_FAS_ProfileMaster_01|void
Rte_IWrite_RFASProfileMasterCyclic_PpFRFASProfileMasterOut_DeTraceData|Dt_RECORD_TraceData
Rte_IWriteRef_RFASProfileMasterCyclic_PpFRFASProfileMasterOut_DeTraceData|void
Rte_Write_CtApFASProfileMaster_PpPdFASProfileMasterWrite_DeFASProfileMasterParameters_Critical|Dt_RECORD_FASProfileMasterParameters_Critical
Rte_Call_CtApFASProfileMaster_BapGet_DAF_Interface_State|UInt8
Rte_Result_CtApFASProfileMaster_BapGet_DAF_Interface_State|Dt_BOOL
Rte_Call_CtApFASProfileMaster_BapGet_FAS_Profiles_State|UInt8
Rte_Result_CtApFASProfileMaster_BapGet_FAS_Profiles_State|Dt_BOOL
Rte_Call_CtApFASProfileMaster_BapPropInit_DAF_Interface_BAP_Config_BAP_InitSendBufferByteSequence|byteSequence6_t
Rte_Result_CtApFASProfileMaster_BapPropInit_DAF_Interface_BAP_Config_BAP_InitSendBufferByteSequence|byteSequence6_t
Rte_Call_CtApFASProfileMaster_BapPropInit_DAF_Interface_DataTransmissionInfo_BAP_InitSendBufferByteSequence|byteSequence6_t
Rte_Result_CtApFASProfileMaster_BapPropInit_DAF_Interface_DataTransmissionInfo_BAP_InitSendBufferByteSequence|byteSequence6_t
Rte_Call_CtApFASProfileMaster_BapPropInit_DAF_Interface_FSG_Control_BAP_InitSendBufferUInt8|Dt_UINT8_1_0
Rte_Result_CtApFASProfileMaster_BapPropInit_DAF_Interface_FSG_Control_BAP_InitSendBufferUInt8|void
Rte_Call_CtApFASProfileMaster_BapPropInit_DAF_Interface_FSG_OperationState_BAP_InitSendBufferUInt8|Dt_UINT8_1_0
Rte_Result_CtApFASProfileMaster_BapPropInit_DAF_Interface_FSG_OperationState_BAP_InitSendBufferUInt8|void
Rte_Call_CtApFASProfileMaster_BapPropInit_DAF_Interface_FSG_Setup_BAP_InitSendBufferByteSequence|byteSequence6_t
Rte_Result_CtApFASProfileMaster_BapPropInit_DAF_Interface_FSG_Setup_BAP_InitSendBufferByteSequence|byteSequence6_t
Rte_Call_CtApFASProfileMaster_BapPropInit_DAF_Interface_FunctionList_BAP_InitSendBufferByteSequence|byteSequence8_t
Rte_Result_CtApFASProfileMaster_BapPropInit_DAF_Interface_FunctionList_BAP_InitSendBufferByteSequence|byteSequence8_t
Rte_Call_CtApFASProfileMaster_BapPropInit_DAF_Interface_HeartBeat_BAP_InitSendBufferUInt8|Dt_UINT8_1_0
Rte_Result_CtApFASProfileMaster_BapPropInit_DAF_Interface_HeartBeat_BAP_InitSendBufferUInt8|void
Rte_Call_CtApFASProfileMaster_BapPropInit_FAS_Profiles_BAP_Config_BAP_InitSendBufferByteSequence|byteSequence6_t
Rte_Result_CtApFASProfileMaster_BapPropInit_FAS_Profiles_BAP_Config_BAP_InitSendBufferByteSequence|byteSequence6_t
Rte_Call_CtApFASProfileMaster_BapPropInit_FAS_Profiles_Display_BAP_InitSendBufferByteSequence|byteSequence3_t
Rte_Result_CtApFASProfileMaster_BapPropInit_FAS_Profiles_Display_BAP_InitSendBufferByteSequence|byteSequence3_t
Rte_Call_CtApFASProfileMaster_BapPropInit_FAS_Profiles_FSG_Control_BAP_InitSendBufferUInt8|Dt_UINT8_1_0
Rte_Result_CtApFASProfileMaster_BapPropInit_FAS_Profiles_FSG_Control_BAP_InitSendBufferUInt8|void
Rte_Call_CtApFASProfileMaster_BapPropInit_FAS_Profiles_FSG_OperationState_BAP_InitSendBufferUInt8|Dt_UINT8_1_0
Rte_Result_CtApFASProfileMaster_BapPropInit_FAS_Profiles_FSG_OperationState_BAP_InitSendBufferUInt8|void
Rte_Call_CtApFASProfileMaster_BapPropInit_FAS_Profiles_FSG_Setup_BAP_InitSendBufferByteSequence|byteSequence6_t
Rte_Result_CtApFASProfileMaster_BapPropInit_FAS_Profiles_FSG_Setup_BAP_InitSendBufferByteSequence|byteSequence6_t
Rte_Call_CtApFASProfileMaster_BapPropInit_FAS_Profiles_FunctionList_BAP_InitSendBufferByteSequence|byteSequence8_t
Rte_Result_CtApFASProfileMaster_BapPropInit_FAS_Profiles_FunctionList_BAP_InitSendBufferByteSequence|byteSequence8_t
Rte_Call_CtApFASProfileMaster_BapPropInit_FAS_Profiles_HeartBeat_BAP_InitSendBufferUInt8|Dt_UINT8_1_0
Rte_Result_CtApFASProfileMaster_BapPropInit_FAS_Profiles_HeartBeat_BAP_InitSendBufferUInt8|void
Rte_Call_CtApFASProfileMaster_BapPropInit_FAS_Profiles_Messages_BAP_InitSendBufferUInt8|Dt_UINT8_1_0
Rte_Result_CtApFASProfileMaster_BapPropInit_FAS_Profiles_Messages_BAP_InitSendBufferUInt8|void
Rte_Call_CtApFASProfileMaster_BapPropInit_FAS_Profiles_SetupProfile_BAP_InitSendBufferByteSequence|byteSequence8_t
Rte_Result_CtApFASProfileMaster_BapPropInit_FAS_Profiles_SetupProfile_BAP_InitSendBufferByteSequence|byteSequence8_t
Rte_Call_CtApFASProfileMaster_BapRequestError_DAF_Interface_DataTransmission_BAP_RequestError|BapError_et
Rte_Result_CtApFASProfileMaster_BapRequestError_DAF_Interface_DataTransmission_BAP_RequestError|void
Rte_Call_CtApFASProfileMaster_BapRequestError_DAF_Interface_DataTransmissionInfo_BAP_RequestError|BapError_et
Rte_Result_CtApFASProfileMaster_BapRequestError_DAF_Interface_DataTransmissionInfo_BAP_RequestError|void
Rte_Call_CtApFASProfileMaster_BapRequestError_DAF_Interface_DelPilotSysStateList_BAP_RequestError|BapError_et
Rte_Result_CtApFASProfileMaster_BapRequestError_DAF_Interface_DelPilotSysStateList_BAP_RequestError|void
Rte_Call_CtApFASProfileMaster_BapRequestError_DAF_Interface_FSG_Control_BAP_RequestError|BapError_et
Rte_Result_CtApFASProfileMaster_BapRequestError_DAF_Interface_FSG_Control_BAP_RequestError|void
Rte_Call_CtApFASProfileMaster_BapRequestError_DAF_Interface_FSG_OperationState_BAP_RequestError|BapError_et
Rte_Result_CtApFASProfileMaster_BapRequestError_DAF_Interface_FSG_OperationState_BAP_RequestError|void
Rte_Call_CtApFASProfileMaster_BapRequestError_DAF_Interface_FSG_Setup_BAP_RequestError|BapError_et
Rte_Result_CtApFASProfileMaster_BapRequestError_DAF_Interface_FSG_Setup_BAP_RequestError|void
