# CtApTVIP
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtApTVIP\ContractHeader\Rte_CtApTVIP.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtApTVIP_PpDiagGlobalRead_DeFSPCleared|Dt_BOOL
Rte_Read_CtApTVIP_PpPdTVIPRead_DeParametersCameraFront_Normal|Dt_RECORD_ParametersCamera
Rte_IsUpdated_CtApTVIP_PpPdTVIPRead_DeParametersCameraFront_Normal|void
Rte_Read_CtApTVIP_PpPdTVIPRead_DeParametersCameraLeft_Normal|Dt_RECORD_ParametersCamera
Rte_IsUpdated_CtApTVIP_PpPdTVIPRead_DeParametersCameraLeft_Normal|void
Rte_Read_CtApTVIP_PpPdTVIPRead_DeParametersCameraRear_Normal|Dt_RECORD_ParametersCamera
Rte_IsUpdated_CtApTVIP_PpPdTVIPRead_DeParametersCameraRear_Normal|void
Rte_Read_CtApTVIP_PpPdTVIPRead_DeParametersCameraRight_Normal|Dt_RECORD_ParametersCamera
Rte_IsUpdated_CtApTVIP_PpPdTVIPRead_DeParametersCameraRight_Normal|void
Rte_IRead_RTVIP_PpPFHwMeasurements_DeTHS|void
Rte_IStatus_RTVIP_PpPFHwMeasurements_DeTHS|void
Rte_IRead_RTVIP_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IStatus_RTVIP_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IRead_RTVIP_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IStatus_RTVIP_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IRead_RTVIP_PpPFProvidedData_DeIFSETVersion|void
Rte_IStatus_RTVIP_PpPFProvidedData_DeIFSETVersion|void
Rte_IRead_RTVIP_PpPFProvidedData_DeLCSAPHState|void
Rte_IStatus_RTVIP_PpPFProvidedData_DeLCSAPHState|void
Rte_IRead_RTVIP_PpPFProvidedData_DeLCSMVHState|void
Rte_IStatus_RTVIP_PpPFProvidedData_DeLCSMVHState|void
Rte_IRead_RTVIP_PpPFProvidedData_DeLCSSRHState|void
Rte_IStatus_RTVIP_PpPFProvidedData_DeLCSSRHState|void
Rte_IRead_RTVIP_PpPFProvidedData_DeLCSSSHState|void
Rte_IStatus_RTVIP_PpPFProvidedData_DeLCSSSHState|void
Rte_IRead_RTVIP_PpPFProvidedData_DeLCSSystemState|void
Rte_IStatus_RTVIP_PpPFProvidedData_DeLCSSystemState|void
Rte_IRead_RTVIP_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IStatus_RTVIP_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IRead_RTVIP_PpPFProvidedData_DeVARHWVariant|void
Rte_IStatus_RTVIP_PpPFProvidedData_DeVARHWVariant|void
Rte_IRead_RTVIP_PpTVCntrlTVMaster_DeTVCleaningStatus|void
Rte_IStatus_RTVIP_PpTVCntrlTVMaster_DeTVCleaningStatus|void
Rte_IRead_RTVIP_PpTVCntrlTVMaster_DeTVLogoStatus|void
Rte_IStatus_RTVIP_PpTVCntrlTVMaster_DeTVLogoStatus|void
Rte_IRead_RTVIP_PpTVCntrlTVMaster_DeTVWingMirrorStatus|void
Rte_IStatus_RTVIP_PpTVCntrlTVMaster_DeTVWingMirrorStatus|void
Rte_Read_CtApTVIP_PpTVMasterBlindnessReport_DeTVMasterBlindnessReport|Dt_RECORD_TVMasterBlindnessReport
Rte_IsUpdated_CtApTVIP_PpTVMasterBlindnessReport_DeTVMasterBlindnessReport|void
Rte_Read_CtApTVIP_PpTVMasterCameraCalibration_DeTVMasterCameraCalibration|Dt_RECORD_TVMasterCameraCalibration
Rte_IsUpdated_CtApTVIP_PpTVMasterCameraCalibration_DeTVMasterCameraCalibration|void
Rte_Send_CtApTVIP_PpFencesTVBV_DeTVBVFreespaceFences|Dt_RECORD_TVBVFreespaceFences
Rte_Send_CtApTVIP_PpFencesTVBV_DeTVBVObstacleFences|Dt_RECORD_TVBVObstacleFences
Rte_Send_CtApTVIP_PpOBFObjTVIP_DeTVBVObjCam1|Dt_RECORD_TVIPObjectList
Rte_Send_CtApTVIP_PpOBFObjTVIP_DeTVBVObjCam2|Dt_RECORD_TVIPObjectList
Rte_Send_CtApTVIP_PpTVIP2PerceptionAvailability_DeStatusTVIPSensors|Dt_RECORD_TVIPStatusSensors
Rte_Send_CtApTVIP_PpTVIPEML_DeTVIPEML|Dt_RECORD_TVIPEML
Rte_Write_CtApTVIP_PpDiagTVIPWrite_DeMesswerte_TVIP|Dt_RECORD_Messwert_TVIP
Rte_Write_CtApTVIP_PpPdTVIPWrite_DeParametersCameraFront_Normal|Dt_RECORD_ParametersCamera
Rte_Write_CtApTVIP_PpPdTVIPWrite_DeParametersCameraLeft_Normal|Dt_RECORD_ParametersCamera
Rte_Write_CtApTVIP_PpPdTVIPWrite_DeParametersCameraRear_Normal|Dt_RECORD_ParametersCamera
Rte_Write_CtApTVIP_PpPdTVIPWrite_DeParametersCameraRight_Normal|Dt_RECORD_ParametersCamera
Rte_IWrite_RTVIP_PpTVIPTraceData_DeTraceData|Dt_RECORD_TraceData
Rte_IWriteRef_RTVIP_PpTVIPTraceData_DeTraceData|void
Rte_Call_CtApTVIP_PpEventHandling_GetEventStatus|Dem_EventIdType
Rte_Call_CtApTVIP_PpEventHandling_SetEventStatus|Dem_EventIdType
Rte_Call_CtApTVIP_PpPFServer_MW_SetSwcInfo|Dt_ENUM_SWCID
Rte_Call_CtApTVIP_PpPFServer_TS_ConvertAgt2Zgt|Dt_RECORD_TimestampAGT
Rte_Call_CtApTVIP_PpPFServer_TS_ConvertZgt2Agt|Dt_RECORD_Timestamp
Rte_Call_CtApTVIP_PpPFServer_TS_GetAgtTimestamp|Dt_RECORD_TimestampAGT
Rte_Call_CtApTVIP_PpPFServer_TS_GetRemainingTimeBudget|Dt_SINT32_1_0
Rte_Call_CtApTVIP_PpPFServer_TS_GetZgtTimestamp|Dt_RECORD_Timestamp
#RTE WHITELIST COUNT: 126
#####################################
#NON RTE WHITELIST
cbrtf
pthread_mutex_lock
__aeabi_f2lz
acosf
ldexpf
glFramebufferRenderbuffer
log2f
pthread_attr_getscope
cudaFree
glLineWidth
isspace
eglSwapBuffers
Sched_Thread_SRH_GetIppParams
eglReleaseThread
strnlen
cosf
snprintf
glBlendFuncSeparate
memset
NvMediaEglStreamProducerGetImage
PF_StorageAIOOpen
cudaDestroyTextureObject
sincos
asin
__cxa_end_cleanup
pthread_spin_destroy
NvMediaEglStreamProducerPostMetaData
glDeleteProgram
_ZTVN10__cxxabiv117__class_type_infoE
NvMediaImageSiblingDestroy
cudaConfigureCall
glUniform3f
__cxa_guard_acquire
timer_settime
cudaLaunch
sinh
sinf
snscanf
lroundf
BDL_StartUpload
NvMediaEglStreamProducerSetAttributes
cudaUnbindTexture
__aeabi_idivmod
ERV_IRead_RTVImageCntrl_PpDsTVMasterDataSet_DeExtrinsicsCadFront
NvMediaIPPPipelineStart
PF_CarSilhouetteRead
NvMediaICPFeedFrame
sem_close
sem_timedwait
glDeleteFramebuffers
glDrawArrays
select
pthread_equal
NvMediaImageDestroy
__mulsc3
ERV_TS_GetZgtTimestamp
glClear
BDL_FrameReceived
glMemoryBarrier
glIsEnabled
glFramebufferTexture2D
pthread_cond_broadcast
NvMediaICPGetFrame
gettimeofday
cudaPeekAtLastError
__errno_location
Sched_SRH_UpdateOverlay
cuEGLStreamConsumerAcquireFrame
ERV_IRead_RTVImageCntrl_PpDsTVMasterDataSet_DeExtrinsicsCadBack
glDisableVertexAttribArray
sysconf
sem_trywait
abort
strtoll
ERV_IRead_RTVRmain_PpDsTVMasterDataSet_DeViewParamsDefault
tan
pthread_getspecific
glEnable
ERV_IStatus_RTVRmain_PpDsTVMasterDataSet_DeExtrinsicsCadFront
cudaDeviceSynchronize
Sched_Notify_SRH_ImagePostingDoneSurround
sin
ERV_IStatus_RTVImageCntrl_PpDsTVMasterDataSet_DeExtrinsicsCadLeft
__cxa_pure_virtual
ERV_Read_CtCdTVIC_PpDiagCoding_DeCoding
memrchr
PF_CarSilhouetteReturn
cuGraphicsUnregisterResource
NvMediaIPPPipelineDestroy
ioctl
Sched_Notify_SRH_AcquireStage
pthread_join
atanf
Sched_Notify_SRH_ImageDisplay
ERV_Read_CtApTVMaster_PpDiagCoding_DeCoding
NvMediaISCReadRegister
pthread_attr_setschedpolicy
atan2
ERV_IStatus_RTVRmain_PpDsTVMasterDataSet_DeVehicleMeasurements
NvMediaImagePutBits
PF_EDRStorageInit
Sched_Notify_SRH_ImageProcessingDoneSurround
NvMediaISCGetTemperature
rand
NvMediaIJPECreate
ERV_IRead_RTVRmain_PpDsTVMasterDataSet_DeExtrinsicsCadBack
strtoul
ERV_IRead_RTVRmain_PpDsTVMasterDataSet_DeExtrinsicsCadLeft
Sched_Thread_SRH_GetETBackgroundPriority
NvMediaImageGetBits
getpid
cudaMemcpyToArray
SWC_GPU_SRH_UnlockGPU
cuEGLStreamConsumerConnect
pthread_attr_getschedparam
fmod
cudaMemset
memchr
clock_gettime
glDeleteRenderbuffers
glUniform2f
glGetProgramiv
glVertexAttribPointer
logf
pthread_cond_signal
NvMediaISCGetLinkStatus
__aeabi_ldivmod
atan
sqrtf
eglGetError
strrchr
atan2f
Sched_Notify_SRH_FrameAcquiredSurround
NvMedia2DDestroy
_Log_AddMsg
free
NvMediaDeviceDestroy
NvMediaISCRootDeviceDestroy
cudaFuncGetAttributes
ERV_IRead_RTVImageCntrl_PpDsTVICDataSet_DeApplicationParamsTVICDS
ERV_IStatus_RTVRmain_PpDsTVMasterDataSet_DeViewParamsDefault
__divsc3
glGetShaderiv
PF_StorageCloseDir
strncmp
cudaDeviceReset
floorf
sem_post
ldexp
ERV_IStatus_RTVImageCntrl_PpDsTVICDataSet_DeIspParamsDefault
NvMediaVideoSurfaceLock
strncpy
usleep
cudaMemcpyAsync
qsort
glUniform3fv
memcmp
__aeabi_idiv
NvMediaEglStreamConsumerReleaseImage
ERV_IRead_RTVRmain_PpDsTVMasterDataSet_DeExtrinsicsCadFront
NvMediaEglStreamConsumerDestroy
cudaEventDestroy
NvMediaISCReadParameters
glGetIntegerv
__cxa_guard_release
expf
vsnprintf
glUseProgram
NvMediaIJPEFeedFrame
glGetProgramInfoLog
cuEGLStreamConsumerReleaseFrame
NvMediaVideoSurfacePutBits
pthread_once
NvMediaIPPMetadataGetAddress
ERV_IRead_RTVRmain_PpDsTVMasterDataSet_DeApplicationParamsTVMASTERDS
pthread_attr_destroy
glFinish
glDeleteShader
glCullFace
tolower
ERV_IStatus_RTVImageCntrl_PpDsTVMasterDataSet_DeExtrinsicsCadFront
pthread_setschedprio
_GLOBAL_OFFSET_TABLE_
__aeabi_uldivmod
glTexStorage2DMultisample
ERV_IRead_RTVRmain_PpDsTVMasterDataSet_DeVehicleMeasurements
glTexParameterf
glTexParameteri
csqrtf
ERV_IStatus_RTVRmain_PpDsTVMasterDataSet_DeExtrinsicsCadLeft
glPixelStorei
__aeabi_f2ulz
pthread_attr_getdetachstate
ERV_LogAddMsg
NvMediaEglStreamConsumerAcquireImage
strncasecmp
pthread_getattr_np
Log_AddMsg
ERV_IRead_RTVImageCntrl_PpDsTVMasterDataSet_DeExtrinsicsCadRight
Sched_Notify_SRH_FrameAcquiredDriver
eglTerminate
glBindTexture
strtol
ERV_IRead_RTVImageCntrl_PpDsTVICDataSet_DeIspParamsDefault
strtok
strtod
pthread_mutex_trylock
SWC_GPU_SRH_LockGPU_Timeout
glDeleteTextures
NvMediaISCWriteRegister
NvMediaImageUnlock
ceil
ERV_IStatus_RTVImageCntrl_PpDsTVMasterDataSet_DeExtrinsicsCadBack
cudaGetLastError
memcpy
__aeabi_l2f
__aeabi_l2d
glAttachShader
NvMediaISCWriteParameters
cuEGLStreamProducerPresentDevicePtr
pthread_cond_wait
glUniform1f
glDispatchCompute
glUniform1i
cudaSetupArgument
glTexSubImage2D
glDisable
pthread_attr_getinheritsched
Sched_SRH_GPUReleased
atexit
Sched_Thread_SRH_GetETForegroundPriority
glBindFramebuffer
cudaGetErrorString
strchr
__aeabi_d2ulz
eglGetProcAddress
NvMediaISCCheckPresence
Sched_Thread_SRH_GetETAcqForegroundPriority
NvMediaEglStreamProducerPostImage
glDrawElements
cos
IsDebugModeActive
glReadBuffer
__aeabi_ul2d
NvMediaIPPPipelineStop
__aeabi_ul2f
NvMediaImageLock
__aeabi_uidivmod
glUnmapBuffer
toupper
glBindRenderbuffer
ERV_IStatus_RTVRmain_PpDsTVMasterDataSet_DeExtrinsicsCadRight
glActiveTexture
glEnableVertexAttribArray
glReadPixels
glRenderbufferStorageMultisample
PF_StorageAIOStatus
ERV_IStatus_RTVRmain_PpDsTVMasterDataSet_DeApplicationParamsTVMASTERDS
asinf
SWC_GPU_SRH_LockGPU
pthread_getname_np
tanf
Sched_SRH_GPUObtained
__aeabi_d2lz
pthread_mutex_destroy
pthread_attr_getschedpolicy
cabsf
pthread_cond_destroy
ERV_IStatus_RTVImageCntrl_PpDsTVICDataSet_DeApplicationParamsTVICDS
glGetShaderInfoLog
Sched_Notify_SRH_ImageEGL
NvMediaICPCheckAvailableFrame
cudaFreeArray
sqrt
cudaMemcpy2D
cudaFreeHost
glBlendFunc
ceilf
NvMediaIPPMetadataGet
pthread_attr_getstack
__ctype_tolower_loc
pthread_attr_getguardsize
PF_StorageAIOWrite
BDL_ContinueUpload
glDeleteBuffers
glScissor
NvMediaEglStreamProducerDestroy
powf
NvMediaIJPEBitsAvailable
NvMediaIPPManagerDestroy
glClearColor
NvMediaICPDestroy
cudaMemcpy2DAsync
Sched_Thread_SRH_GetETAcqBackgroundPriority
sem_destroy
timer_delete
glUniform2fv
pow
glBindBufferRange
ERV_IRead_RTVRmain_PpTVImageCntrlTVMaster_DeCameraPparFromCam
NvMediaVideoOutputDevicesQuery
strstr
memmove
__cxa_guard_abort
cudaStreamSynchronize
glDepthFunc
ERV_IStatus_RTVRmain_PpDsTVMasterDataSet_DeSuspensionAtCad
timer_create
NvMediaVideoSurfaceUnlock
NvMediaVideoSurfaceGetBits
tanhf
hypot
__dso_handle
glGetUniformLocation
ERV_IStatus_RTVRmain_PpDsTVMasterDataSet_DeExtrinsicsCadBack
ERV_Read_CtCdTVIC_PpDiagGlobalRead_DePlatform_zFAS_hil_mode_0x0500
sem_getvalue
glUniform4fv
cudaMemcpy
pthread_getaffinity_np
isxdigit
exit
pthread_setspecific
_ZdlPv
NvMediaImageGetGlobalTimeStamp
pthread_exit
modf
glCheckFramebufferStatus
glBindAttribLocation
timer_gettime
glDrawRangeElements
NvMediaIPPComponentReturnOutput
glBufferSubData
__cxa_call_unexpected
glMapBufferRange
cudaMemset2D
NvMediaIPADeviceDestroy
acos
cudaEventSynchronize
NvMediaIPPManagerSetTimeSource
PF_StorageAIOClose
roundf
NvMedia2DBlit
ERV_IStatus_RTVImageCntrl_PpDsTVMasterDataSet_DeExtrinsicsCadRight
glShaderSource
PF_StorageReadDirEntry
PF_StorageUnlink
log
cuEGLStreamConsumerDisconnect
ERV_IRead_RTVRmain_PpDsTVMasterDataSet_DeSuspensionAtCad
__aeabi_atexit
glBindBuffer
pthread_mutexattr_destroy
__aeabi_uidiv
pthread_cond_timedwait
log10
ERV_IRead_RTVRmain_PpDsTVMasterDataSet_DeExtrinsicsCadRight
cuGraphicsResourceGetMappedEglFrame
sched_yield
glGetError
atoi
Sched_Query_SRH_EventTriggered
pthread_mutex_unlock
lrint
NvMediaIPPComponentGetOutput
ERV_IStatus_RTVRmain_PpTVImageCntrlTVMaster_DeCameraPparFromCam
delete
NvMediaIJPEGetBits
eglMakeCurrent
ERV_IWrite_RTVImageCntrl_PpTVImageCntrlTVMaster_DeCameraPparFromCam
ERV_IRead_RTVImageCntrl_PpDsTVMasterDataSet_DeExtrinsicsCadLeft
glUniform1fv
Sched_SRH_GPURequest
pthread_attr_setaffinity_np
NvMediaISCCheckLink
floor
NvMediaEglStreamConsumerAcquireMetaData
Sched_SRH_SWCState
fmodf
NvMediaIJPEDestroy
PF_StorageOpenDir
exp
sem_wait
glDepthMask
NvMediaISCDeviceDestroy
PF_CarSilhouetteStatus
cudaDeviceGetAttribute
glUniformMatrix4fv
NvMediaICPDebugGetStatus
pthread_self
sincosf
#####################################
#NON RTE WHITELIST INIT
glClearColor
Log_AddMsg
pthread_condattr_destroy
glLinkProgram
pthread_attr_setschedparam
glBindTexture
sem_unlink
drmModeGetConnector
cudaMallocArray
cudaSetDeviceFlags
glFramebufferRenderbuffer
glGetString
glDispatchCompute
glDetachShader
send
drmModeGetEncoder
cuDeviceGet
glLineWidth
glUniform2fv
glGetProgramResourceIndex
glUnmapBuffer
glFinish
pthread_setname_np
glCompileShader
glColorMask
glDeleteTextures
eglBindAPI
glBindBufferRange
glRenderbufferStorage
sched_get_priority_min
NvMediaISCSetDefaults
NvMediaIPPComponentAttach
glClearDepthf
cuDeviceGetCount
pthread_attr_setstacksize
__sched_cpucount
glGenTextures
cudaCreateChannelDesc
signal
drmModeGetCrtc
glDepthFunc
Sched_Thread_SRH_IppParams
glUniform1f
sched_get_priority_max
glProgramBinary
NvMediaISCRootDeviceCreate
cuDeviceGetName
glCreateShader
strcmp
glUniform1i
glGenRenderbuffers
__cudaRegisterFatBinary
glTexSubImage2D
glDisable
glUniform2f
cudaStreamCreate
glGetProgramiv
glVertexAttribPointer
NvMediaIPPPipelineSetEventCallback
connect
pthread_create
glGetUniformLocation
close
eglDestroyContext
glBindFramebuffer
NvMediaEglStreamConsumerCreate
cudaMalloc
drmOpen
glUniform4fv
NvMediaImageSiblingCreate
cudaFuncSetCacheConfig
drmModeSetCrtc
__cudaRegisterVar
glDeleteProgram
posix_memalign
cudaMemGetInfo
_ZdlPv
new
glAttachShader
NvMediaIPPManagerSetThreadParams
_Log_AddMsg
NvMediaISCDeviceCreate
pthread_mutexattr_init
glCheckFramebufferStatus
NvMediaEglStreamProducerCreate
glCopyTexImage2D
glUniform3f
glBindAttribLocation
pthread_attr_init
glDrawElements
eglInitialize
recv
glDrawRangeElements
NvMediaIPPComponentCreate
setsockopt
glBufferSubData
socket
pthread_condattr_setpshared
glReadBuffer
__cudaInitModule
glUniform3fv
glGenerateMipmap
drmClose
glGetShaderiv
eglChooseConfig
sendmsg
realloc
glDisableVertexAttribArray
pthread_attr_getstacksize
sem_init
NvMediaISCSetDeviceConfig
glShaderSource
glBindRenderbuffer
glCompressedTexImage2D
pthread_mutex_init
glDeleteFramebuffers
glDrawArrays
select
pthread_spin_init
cuDeviceTotalMem
cudaEventCreate
drmModeGetResources
NvMediaDeviceCreate
cudaDeviceSetSharedMemConfig
cudaDeviceSetLimit
glClear
glProgramParameteri
glMemoryBarrier
glActiveTexture
glEnableVertexAttribArray
glBindBuffer
glReadPixels
listen
glGetProgramBinary
eglCreateWindowSurface
glUniformMatrix3fv
cuDeviceGetAttribute
glBufferData
NvMediaISCRootDevicePowerControl
pthread_setschedparam
pthread_key_create
glGetError
glDeleteRenderbuffers
cudaGetDevice
__cudaRegisterFunction
eglCreateContext
pthread_attr_setguardsize
cudaMallocHost
sem_open
glUseProgram
glGenFramebuffers
pthread_mutexattr_settype
glGetIntegerv
pthread_condattr_init
glFramebufferTexture2D
glTexParameteri
cudaCreateTextureObject
glRenderbufferStorageMultisample
NvMediaImageCreate
malloc
sscanf
glTexImage2D
glGetProgramInfoLog
strndup
accept
pthread_attr_setschedpolicy
glGetShaderInfoLog
__cudaUnregisterFatBinary
glUniform1fv
NvMediaIPPPipelineCreate
NvMediaICPCreate
strncat
glScissor
NvMediaIPADeviceCreate
cudaDeviceGetSharedMemConfig
glEnable
eglDestroySurface
glGenBuffers
recvmsg
drmModeFreeCrtc
glDeleteShader
NvMediaISCRootDeviceGetPowerStatus
glBlendFunc
glCreateProgram
NvMediaIPPManagerSetEventCallback
drmModeFreeResources
drmModeFreeEncoder
cudaSetDevice
glViewport
cudaMallocPitch
pthread_attr_setinheritsched
strpbrk
calloc
pthread_getschedparam
unlink
pthread_cond_init
glUniformMatrix4fv
glTexStorage2DMultisample
NvMedia2DCreate
glTexParameterf
bind
cudaBindTexture2D
NvMediaIPPManagerCreate
glDeleteBuffers
eglGetDisplay
pipe
cudaFuncSetSharedMemConfig
__cudaRegisterTexture
eglQuerySurface
NvMediaIPPComponentAddToPipeline
