# CtApGwSmartPhone
# E:\zFAS-Jenkins\workspace\zFAS_AIT_Master_AAT\_ait\SW\0900_System\02_interfaces\CtApGwSmartPhone\ContractHeader\Rte_CtApGwSmartPhone.h
# Generated at: Tue Sep 10 2019 17:16
Rte_Receive_CtApGwSmartPhone_PpDiagGlobalRead_DeFSPCleared|Dt_BOOL
Rte_IStatus_RGWSmartPhone10ms_PpFRGwSmartPhoneIn_DeFRGwSmartPhoneIn|void
Rte_IRead_RGWSmartPhone10ms_PpParkGwHMIsmartphone_DeParkGwHMImaneuver|void
Rte_IStatus_RGWSmartPhone10ms_PpParkGwHMIsmartphone_DeParkGwHMImaneuver|void
Rte_Read_CtApGwSmartPhone_PpPdGwSmartPhoneRead_DeGwSmartPhonePersistentData_Normal|Dt_RECORD_GwSmartPhonePersistentData
Rte_IsUpdated_CtApGwSmartPhone_PpPdGwSmartPhoneRead_DeGwSmartPhonePersistentData_Normal|void
Rte_IRead_RGWSmartPhone10ms_PpPFHwMeasurements_DeTHS|void
Rte_IStatus_RGWSmartPhone10ms_PpPFHwMeasurements_DeTHS|void
Rte_IRead_RGWSmartPhone10ms_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IStatus_RGWSmartPhone10ms_PpPFHwMeasurements_DeVBAT_MAIN|void
Rte_IRead_RGWSmartPhone10ms_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IStatus_RGWSmartPhone10ms_PpPFProvidedData_DeCurConsecutiveSysRestartCnt|void
Rte_IRead_RGWSmartPhone10ms_PpPFProvidedData_DeIFSETVersion|void
Rte_IStatus_RGWSmartPhone10ms_PpPFProvidedData_DeIFSETVersion|void
Rte_IRead_RGWSmartPhone10ms_PpPFProvidedData_DeLCSAPHState|void
Rte_IStatus_RGWSmartPhone10ms_PpPFProvidedData_DeLCSAPHState|void
Rte_IRead_RGWSmartPhone10ms_PpPFProvidedData_DeLCSMVHState|void
Rte_IStatus_RGWSmartPhone10ms_PpPFProvidedData_DeLCSMVHState|void
Rte_IRead_RGWSmartPhone10ms_PpPFProvidedData_DeLCSSRHState|void
Rte_IStatus_RGWSmartPhone10ms_PpPFProvidedData_DeLCSSRHState|void
Rte_IRead_RGWSmartPhone10ms_PpPFProvidedData_DeLCSSSHState|void
Rte_IStatus_RGWSmartPhone10ms_PpPFProvidedData_DeLCSSSHState|void
Rte_IRead_RGWSmartPhone10ms_PpPFProvidedData_DeLCSSystemState|void
Rte_IStatus_RGWSmartPhone10ms_PpPFProvidedData_DeLCSSystemState|void
Rte_IRead_RGWSmartPhone10ms_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IStatus_RGWSmartPhone10ms_PpPFProvidedData_DeTotalSysRestartCnt|void
Rte_IRead_RGWSmartPhone10ms_PpPFProvidedData_DeVARHWVariant|void
Rte_IStatus_RGWSmartPhone10ms_PpPFProvidedData_DeVARHWVariant|void
Rte_Write_CtApGwSmartPhone_PpDiagGwSmartPhoneWrite_DeMesswerte_GwSmartPhone|Dt_RECORD_Messwert_GwSmartPhone
Rte_IWrite_RGWSmartPhone10ms_PpFRGwSmartPhoneOut_DeFRGwSmartPhoneOut|Dt_RECORD_FRGwSmartPhoneOut
Rte_IWriteRef_RGWSmartPhone10ms_PpFRGwSmartPhoneOut_DeFRGwSmartPhoneOut|void
Rte_IWrite_RGWSmartPhone10ms_PpFRGwSmartPhoneOut_DePduGrp_Parken_SM_01|Dt_BOOL_PduGroup
Rte_IWriteRef_RGWSmartPhone10ms_PpFRGwSmartPhoneOut_DePduGrp_Parken_SM_01|void
Rte_IWrite_RGWSmartPhone10ms_PpFRGwSmartPhoneOut_DePduGrp_Parken_SM_02|Dt_BOOL_PduGroup
Rte_IWriteRef_RGWSmartPhone10ms_PpFRGwSmartPhoneOut_DePduGrp_Parken_SM_02|void
Rte_IWrite_RGWSmartPhone10ms_PpFRGwSmartPhoneOut_DePduGrp_Parken_SM_03_xx|Dt_BOOL_PduGroup
Rte_IWriteRef_RGWSmartPhone10ms_PpFRGwSmartPhoneOut_DePduGrp_Parken_SM_03_xx|void
Rte_IWrite_RGWSmartPhone10ms_PpFRGwSmartPhoneOut_DeTraceData|Dt_RECORD_TraceData
Rte_IWriteRef_RGWSmartPhone10ms_PpFRGwSmartPhoneOut_DeTraceData|void
Rte_IWrite_RGWSmartPhone10ms_PpGwSmaRequest_DeGwSmaRequest|Dt_RECORD_GwSmaRequest
Rte_IWriteRef_RGWSmartPhone10ms_PpGwSmaRequest_DeGwSmaRequest|void
Rte_Write_CtApGwSmartPhone_PpPdGwSmartPhoneWrite_DeGwSmartPhonePersistentData_Normal|Dt_RECORD_GwSmartPhonePersistentData
Rte_Call_CtApGwSmartPhone_PpEventHandling_GetEventStatus|Dem_EventIdType
Rte_Call_CtApGwSmartPhone_PpEventHandling_SetEventStatus|Dem_EventIdType
Rte_Call_CtApGwSmartPhone_PpPFServer_MW_SetSwcInfo|Dt_ENUM_SWCID
Rte_Call_CtApGwSmartPhone_PpPFServer_TS_ConvertAgt2Zgt|Dt_RECORD_TimestampAGT
Rte_Call_CtApGwSmartPhone_PpPFServer_TS_ConvertZgt2Agt|Dt_RECORD_Timestamp
Rte_Call_CtApGwSmartPhone_PpPFServer_TS_GetAgtTimestamp|Dt_RECORD_TimestampAGT
Rte_Call_CtApGwSmartPhone_PpPFServer_TS_GetRemainingTimeBudget|Dt_SINT32_1_0
Rte_Call_CtApGwSmartPhone_PpPFServer_TS_GetZgtTimestamp|Dt_RECORD_Timestamp
#RTE WHITELIST COUNT: 69
#####################################
#NON RTE WHITELIST
_Log_AddMsg
IsDebugModeActive
BDL_ContinueUpload
BDL_FrameReceived
IsDebugModeLevel2Active
__INDIRECT__
Log_AddMsg
BDL_StartUpload
#####################################
#NON RTE WHITELIST INIT
_Log_AddMsg
Log_AddMsg
IsDebugModeLevel2Active
__INDIRECT__
IsDebugModeActive
